,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A
,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long
2023-05-16 22:00:00,401.79083,97.08162874330196,3.7692231755997616,0.7293539680225494,142.3498868196835,4.707965497877078,8.804969672363683,no,435.0,0.24663039517318344,-2.474354839788774,1.0019451201609848,57.88535959003183,5.517924107034531,-75.65955755728797,no,400,162.1120844216707,7.4824078373721585,0.6949545314380575,-154.95880250647625,4.485619336698975,71.49628034620395,yes,421.7143,-8.382564112137459,-3.4488313442844882,0.9614040635525472,48.58515732329772,5.632673162546603,-84.95975982402209,no
2023-05-16 22:15:00,379.5436,97.07818260851744,3.7693186786854023,0.729298624619767,144.9962075841112,5.290551645121306,11.451290436791396,no,439.0,0.2466013743154215,-2.4731504914283597,1.001947749046045,57.36037251526532,5.415891685851151,-76.1845446320545,no,400,162.1164291859682,7.481707353257856,0.6950599717689941,-154.9478046866227,4.486314507703335,71.50727816605749,yes,425.46667,-8.381701291473803,-3.4475995854767367,0.9614030728625861,48.083639753100385,5.531702743497481,-85.46127739421942,no
2023-05-16 22:30:00,372.07156,97.0747375257016,3.769414147331691,0.7292432303066931,145.95131860697043,5.510609748866508,12.406401459650624,no,443.0,0.24657235767028976,-2.471946068528265,1.0019503769234257,56.8448653934919,5.3166818840191485,-76.7000517538279,no,400,162.12076961590236,7.481006619213023,0.6951653884610148,-154.93681261652586,4.487009530814688,71.51827023615434,yes,429.33334,-8.38083841857383,-3.4463677008506513,0.9614020822095153,47.57600639070586,5.430488959248171,-85.96891075661395,no
2023-05-16 22:45:00,382.26974,97.07129349421126,3.769509581531685,0.72918778507631,144.640302647973,5.212622456150071,11.09538550065318,no,443.0,0.24654325544276598,-2.4707415882652373,1.0019530048098593,56.845057078546354,5.31670262414539,-76.69986006877346,no,400,162.1251057126574,7.480305635559243,0.6952707815147972,-154.9258262950111,4.48770440603203,71.5292565576691,yes,432.86667,-8.379975495213273,-3.4451356904503436,0.961401091593374,47.12015857080286,5.340426060008602,-86.42475857651695,no
2023-05-16 23:00:00,383.58994,97.06785051608298,3.769604981278437,0.7291322889215965,144.4695019413726,5.175489277189792,10.924584794052805,no,452.0,0.24651416015626304,-2.4695370353259825,1.0019556317744365,55.71828182803608,5.103240455242055,-77.82663531928372,no,400,162.12943748009462,7.479604402617654,0.6953761509310213,-154.91484571822645,4.48839913335436,71.54023713445375,yes,410.6,-8.379112520489116,-3.4439035543197236,0.9614001010141977,50.13081776364936,5.948665712401335,-83.41409938367045,no
2023-05-16 23:15:00,381.10764,97.06440859335507,3.769700346564977,0.7290767418355151,144.77114063339084,5.244481702540483,11.226223486071035,no,445.0,0.24648500229257023,-2.4683324263577693,1.0019582585228473,56.591061217501036,5.268154558834262,-76.95385592981877,no,400,162.13376492207266,7.478902920708983,0.6954814967103715,-154.90387088232237,4.489093712780748,71.55121197035783,yes,392.06668,-8.378249493498515,-3.44267129250229,0.961399110472034,52.89753770572514,6.53849669686258,-80.64737944159467,no
2023-05-16 23:30:00,357.8991,97.06096772538714,3.7697956773842827,0.7290211438110381,147.85740979103016,5.9669780834391,14.312492643710357,no,444.33334,0.24645580869355813,-2.4671277454987477,1.0019608848038757,56.6757905137349,5.284296125271671,-76.8691266335849,no,400,162.13808803977037,7.478201190153491,0.6955868188535327,-154.89290178612902,4.489788144310285,71.56218106655118,yes,391.13333,-8.377386416013792,-3.4414389050418226,0.9613981199669123,53.04466803625945,6.5705143306563025,-80.50024911106036,no
2023-05-16 23:45:00,353.91968,97.05752791421662,3.7698909737293262,0.7289654948411062,148.42116430411514,6.10551555218069,14.87624715679533,no,439.66666,0.24642658762773859,-2.4659230045398424,1.00196351045022,57.274929695945765,5.399287576129623,-76.26998745137405,no,400,162.14240683703767,7.477499211271034,0.6956921173611929,-154.88193842580517,4.490482427941998,71.57314442687502,yes,390.5,-8.376523287138241,-3.4402063919825006,0.9613971294988728,53.145198480822955,6.592375875756283,-80.39971866649685,no
2023-05-17 00:00:00,348.7619,97.05408916188473,3.7699862355930533,0.7289097949186714,149.1733187911947,6.29260273412591,15.628401643874895,no,431.25,0.2463973307122764,-2.464718193952168,1.0019661355584806,58.38814571216843,5.616433020558503,-75.15677143515137,no,400,162.14672131772744,7.476796984381025,0.6957973922340397,-154.87098079750677,4.491176563675026,71.58410205517342,yes,391.6,-8.375660105965096,-3.4389737533678906,0.9613961390679487,52.9732914461502,6.554488559945853,-80.57162570116961,no
2023-05-17 00:15:00,347.3845,97.05065146775395,3.7700814629683927,0.7288540440366607,149.3725021159563,6.34368086151561,15.8275849686365,no,436.0,0.24636803135161114,-2.463513322024477,1.001968760311935,57.75491750764978,5.492332239731198,-75.78999963967003,no,400,162.15103148300838,7.47609450980246,0.6959026434727655,-154.86002890007347,4.49187055150844,71.59505395260672,yes,384.86667,-8.37479687427117,-3.4377409892414925,0.961395148674187,54.04752016754367,6.791737208300318,-79.49739697977614,no
2023-05-17 00:30:00,367.95837,97.04721483386544,3.770176655848221,0.728798242188012,146.4397462895269,5.634483220740938,12.8948291422071,no,439.0,0.2463386987013751,-2.462308384632587,1.001971384533164,57.36211331118208,5.416081667787031,-76.18280383613774,no,400,162.15533733672652,7.475391787853882,0.6960078710780623,-154.84908272966777,4.492564391441392,71.60600012301242,yes,380.06668,-8.373933591152365,-3.4365080996476154,0.9613941583176202,54.836783306656855,6.968887685530816,-78.70813384066295,no
2023-05-17 00:45:00,377.27795,97.04377926226236,3.7702718142253975,0.7287423893656406,145.2124856433017,5.351855800530796,11.667568495981897,no,437.66666,0.2463093024882033,-2.4611033839843026,1.001974008533645,57.53630889035236,5.449803073727821,-76.00860825696745,no,400,162.15963888272506,7.474688818853433,0.6961130750506269,-154.83814228245444,4.4932580834730365,71.61694057022575,yes,378.35715,-8.37307025570567,-3.4352750846298217,0.9613931679982815,55.12330042423412,7.033674101301446,-78.42161672308569,no
2023-05-17 01:00:00,345.39914,97.04034475230921,3.7703669380927827,0.7286864855624585,149.6507410075675,6.417645328270489,16.105823860247682,no,443.0,0.2462799095801733,-2.459898317945258,1.0019766315997807,56.84677806901091,5.3168890270285205,-76.6981390783089,no,400,162.16393612216592,7.473985603118769,0.696218255391159,-154.8272075572795,4.493951627602545,71.62787529540068,yes,383.2857,-8.372206869707043,-3.4340419442320393,0.9613921777162108,54.3077298929872,6.849340381927335,-79.23718725433261,no
2023-05-17 01:15:00,353.6567,97.0369113060521,3.770462027443158,0.7286305307713726,148.41492537356498,6.112038535430029,14.870008226245176,no,439.66666,0.2462504541976268,-2.4586931847847007,1.0019792544724253,57.27608560969169,5.399413690359815,-76.26883153762812,no,400,162.16822905888964,7.473282140967156,0.6963234121003637,-154.81627855030987,4.494645023829142,71.63880430237032,yes,379.64285,-8.371343432249944,-3.432808678497888,0.961391187471455,54.910087871238545,6.984878322093145,-78.63482927608126,no
2023-05-17 01:30:00,374.8695,97.0334789255314,3.770557082269306,0.7285745249852899,145.5003995635382,5.421437747792827,11.955482416218388,no,441.0,0.24622096596951074,-2.4574879907026483,1.001981876855109,57.10385033877134,5.3662028171799845,-76.44106680854847,no,400,162.17251769672873,7.472578432715393,0.6964285451789466,-154.80535525772046,4.495338272152025,71.64972759495973,yes,373.5,-8.37047994243693,-3.4315752874715617,0.9613901972640426,55.95177104839706,7.222799731974543,-77.59314609892274,no
2023-05-17 01:45:00,371.29214,97.03004761011789,3.7706521025640165,0.7285184681970818,145.96014383247314,5.528857423204531,12.415226685153328,no,433.0,0.2461914682759149,-2.4562827279740773,1.0019844984032615,58.15453570993839,5.570366913660853,-75.39038143738142,no,400,162.17680203683906,7.471874478679876,0.6965336546276134,-154.79443767836284,4.496031372570455,71.66064517431735,yes,376.42856,-8.369616402041459,-3.4303417711965793,0.9613892070940092,55.452267247344366,7.107875555813319,-78.09264989997544,no
2023-05-17 02:00:00,369.09186,97.02661736185773,3.770747088319998,0.7284623603996375,146.24457999969553,5.5963700359849655,12.699662852375724,no,431.66666,0.24616189786185105,-2.455077404566751,1.0019871198906705,58.333600580446515,5.605550469219451,-75.2113165668733,no,400,162.18108208305145,7.471170279176602,0.696638740447071,-154.7835258084134,4.496724325083639,71.67155704426679,yes,380.66666,-8.368752810159663,-3.429108129717022,0.9613882169613988,54.742629219413345,6.946396598216373,-78.80228792790646,no
