,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter
,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long
2021-05-29 08:15:00,400,60.984226813983675,3.1209198158950686,0.6891657261441632,103.97439997590955,4.4919994433709425,36.97439997590955,no,400,0.255659130578807,-0.9605744686861963,1.0041340037386532,63.14484550609285,6.571227083194315,-3.8551544939071505,no,400,-50.356881139429845,-6.205185720486983,0.9636045285950349,9.501633020084341,6.254555227604581,-57.49836697991566,no,400,-98.60818031224647,-0.9547421175141533,0.9511500752225526,-39.05269045343147,6.222892526806843,-106.05269045343147,no
2021-05-29 08:30:00,400,60.9822828380915,3.121234899226439,0.689260903615726,103.97841552452142,4.492622148021473,36.978415524521424,no,400,0.25565704253439414,-0.959309530442365,1.0041362160159057,63.14501508969429,6.571245020989879,-3.85498491030571,no,400,-50.355911135224346,-6.2044405798009885,0.9636035416109581,9.502659240277012,6.254561101555866,-57.49734075972299,no,400,-98.60893876332028,-0.9550222662955221,0.9511548200686072,-39.053157124522215,6.222923014600341,-106.05315712452222,no
2021-05-29 08:45:00,400,60.98033670219424,3.121549835366261,0.6893560268094198,103.9824255058674,4.493244496650785,36.9824255058674,no,400,0.2556548971211691,-0.9580445721423,1.0041384279104417,63.14518454972904,6.571262951868504,-3.854815450270962,no,400,-50.354941104803345,-6.203695215545163,0.9636025545606239,9.503685503698478,6.254566977284862,-57.49631449630152,no,400,-98.60969726942426,-0.9553023879199531,0.9511595537140808,-39.05362455680188,6.222953428608017,-106.05362455680188,no
2021-05-29 09:00:00,400,60.978388409304166,3.121864624443959,0.6894510957384162,103.98642992378916,4.4938664893455424,36.98642992378916,no,400,0.2556527487610836,-0.9567795870217802,1.0041406389388516,63.145353910372684,6.571280872669757,-3.854646089627316,no,400,-50.353971047322545,-6.202949627746216,0.9636015674441241,9.504711811182005,6.2545728547903865,-57.495288188817995,no,400,-98.61045582949134,-0.9555824823876669,0.9511642761589644,-39.05409274920305,6.222983768829898,-106.05409274920305,no
2021-05-29 09:15:00,400,60.97643795976985,3.122179266588547,0.6895461104158084,103.99042877945973,4.494488126191911,36.990428779459734,no,400,0.255650541791485,-0.9555145876557889,1.0041428497259883,63.14552315495502,6.571298787467941,-3.854476845044978,no,400,-50.35300096459008,-6.202203816429992,0.9636005802614137,9.505738160899853,6.254578734070459,-57.49426183910015,no,400,-98.6112144451103,-0.9558625496988636,0.9511689874032482,-39.05456170331462,6.22301403526606,-106.05456170331462,no
2021-05-29 09:30:00,400,60.974485356601896,3.122493761929081,0.6896410708547429,103.99442207671758,4.49510940727637,36.99442207671758,no,400,0.25564833053271907,-0.9542495617079065,1.004145059644704,63.14569229864807,6.57131669217247,-3.854307701351928,no,400,-50.3520308557579,-6.201457781622654,0.9635995930125896,9.506764553689152,6.254584615123834,-57.49323544631085,no,400,-98.61197311521124,-0.9561425898537635,0.9511736874469231,-39.055031418066164,6.223044227916454,-106.05503141806616,no
2021-05-29 09:45:00,400,60.97253060280538,3.1228081105943675,0.6897359770683184,103.99840981939258,4.495730332685104,36.99840981939258,no,400,0.25564604580533784,-0.9529845171747953,1.0041472693324978,63.145861312178155,6.571334590953066,-3.8541386878218447,no,400,-50.35106071997831,-6.200711523350246,0.9635986056977215,9.507790990385217,6.254590497949297,-57.49220900961478,no,400,-98.61273183872407,-0.9564226028525655,0.9511783762899796,-39.05550189238744,6.223074346781138,-106.05550189238744,no
2021-05-29 10:00:00,400,60.97057369872475,3.1231223127131114,0.68983082906964,104.0023920086544,4.496350902504335,37.0023920086544,no,400,0.2556437163845985,-0.9517194534500975,1.0041494785502252,63.146030209286266,6.571352482238804,-3.853969790713734,no,400,-50.35009055906107,-6.199965041638775,0.9635976183167845,9.508817469159737,6.254596382544891,-57.49118253084026,no,400,-98.61349061723871,-0.9567025886954874,0.9511830539324079,-39.0559731278683,6.223104391860105,-106.0559731278683,no
2021-05-29 10:15:00,400,60.96861464736116,3.1234363684137247,0.6899256268717698,104.00636864832668,4.496971116820035,37.006368648326685,no,400,0.25564139034001676,-0.9504543674281737,1.004151686912425,63.146199013864575,6.571370363503442,-3.8538009861354254,no,400,-50.34912037215503,-6.199218336514426,0.9635966308698122,9.50984399084922,6.254602268909088,-57.49015600915078,no,400,-98.61424944968331,-0.9569825473827406,0.9511877203741987,-39.05644512343662,6.223134363153381,-106.05644512343662,no
2021-05-29 10:30:00,400,60.96665345170923,3.1237502778245934,0.6900203704877843,104.0103397422275,4.49759097571822,37.0103397422275,no,400,0.25563897555095494,-0.9491892638136239,1.0041538950890068,63.146367675822354,6.571388239138612,-3.853632324177646,no,400,-50.348150158417354,-6.1984714080030185,0.9635956433568724,9.510870556283919,6.254608157040554,-57.48912944371608,no,400,-98.61500833499292,-0.9572624789145182,0.9511923756153424,-39.05691787802732,6.223164260661025,-106.05691787802732,no
